Name,Screener,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding
"Reliance Industries","https://scanx.trade/company/reliance-industries-ltd","1,358.35","-2.58%","1,351.45","10,69,793","18,38,183.42","19.30","9.94","1,611.20","1,115.55","-1.64%","-13.12%","12.53%","26.31%","42.42%","2.15","0.39%","8.54%","8.71%","101.61","1,458.60","1,450.12","35.01","78.00%"
"HDFC Bank","https://scanx.trade/company/hdfc-bank-ltd","881.75","-0.64%","871.05","31,67,635","13,56,535.10","17.64","9.58","1,020.35","835.15","-4.87%","-12.63%","3.77%","10.73%","13.14%","2.44","1.23%","13.93%","6.38%","89.49","940.93","973.47","30.03","78.00%"
"State Bank of India","https://scanx.trade/company/state-bank-of-india-ltd","1,189.40","-1.05%","1,171.00","14,21,248","10,97,889.66","12.82","10.53","1,234.80","679.65","12.96%","22.26%","68.96%","125.29%","201.11%","1.96","1.28%","15.83%","5.57%","81.94","1,076.93","913.13","61.25","78.00%"
"Bharti Airtel","https://scanx.trade/company/bharti-airtel-ltd","1,873.35","-0.34%","1,842.20","6,26,466","10,68,203.90","28.93","-11.26","2,174.70","1,561.00","-4.99%","-11.47%","13.56%","148.83%","258.54%","9.10","0.87%","8.11%","18.01%","21.42","2,021.23","1,976.20","30.00","78.00%"
"ICICI Bank","https://scanx.trade/company/icici-bank-ltd","1,374.20","-0.35%","1,351.30","3,06,289","9,82,579.35","17.44","9.58","1,494.10","1,200.20","0.80%","-1.28%","12.51%","60.46%","125.96%","2.88","0.79%","16.67%","6.13%","64.38","1,383.98","1,403.33","44.48","78.00%"
"Tata Consultancy Services","https://scanx.trade/company/tcs-tata-consultancy-services-ltd","2,613.20","-0.88%","2,551.55","1,03,494","9,45,478.63","19.89","25.51","3,708.90","2,561.95","-17.26%","-16.69%","-27.66%","-21.57%","-10.70%","9.02","4.78%","50.48%","62.02%","131.54","3,043.52","3,150.27","28.28","78.00%"
"Bajaj Finance","https://scanx.trade/company/bajaj-finance-ltd","977.90","-1.87%","951.05","11,85,861","6,08,496.50","33.84","30.18","1,102.45","810.21","6.87%","-5.40%","12.46%","58.03%","85.68%","6.01","0.56%","18.84%","10.98%","241.14","976.81","967.86","45.26","76.00%"
"Larsen & Toubro","https://scanx.trade/company/lt-larsen-toubro-ltd","4,066.45","-5.00%","3,960.20","3,50,621","5,59,373.08","31.03","-10.64","4,440.00","2,967.65","7.29%","-0.38%","26.69%","92.42%","176.09%","5.81","0.79%","15.18%","18.71%","96.60","4,064.44","3,811.09","43.84","76.00%"
"Hindustan Unilever","https://scanx.trade/company/hindustan-unilever-ltd","2,322.00","-0.69%","2,275.65","1,40,840","5,45,575.09","37.79","42.65","2,734.31","2,101.12","-3.26%","-3.69%","5.07%","-4.37%","10.06%","11.28","2.27%","19.99%","23.38%","43.99","2,358.23","2,406.11","44.64","78.00%"
"Infosys","https://scanx.trade/company/infosys-ltd","1,288.15","-0.91%","1,276.50","3,74,931","5,22,296.44","18.83","25.51","1,775.90","1,265.00","-23.48%","-17.75%","-26.98%","-14.66%","1.53%","7.05","3.39%","29.67%","35.85%","64.20","1,547.41","1,538.09","23.48","78.00%"
"Maruti Suzuki","https://scanx.trade/company/maruti-suzuki-ltd","14,380.60","-3.29%","13,970.10","27,046","4,52,129.77","31.31","49.59","17,371.60","11,072.20","-5.64%","-9.57%","16.12%","66.55%","104.94%","4.69","0.91%","15.75%","19.54%","467.71","15,672.00","14,685.13","34.56","78.00%"
