Name,Screener,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
"Reliance Industries","https://scanx.trade/company/reliance-industries-ltd","1,358.00","-2.58%","1,375.50","2,37,28,722","18,37,709.78","19.30","9.94","1,611.80","1,114.85","-1.63%","-13.14%","12.50%","26.34%","42.35%","2.15","0.39%","8.54%","8.71%","101.61","1,458.65","1,450.15","35.11","78.00%","91.00%"
"HDFC Bank","https://scanx.trade/company/hdfc-bank-ltd","879.40","-0.94%","876.20","3,83,78,924","13,52,919.72","17.64","9.58","1,020.50","835.03","-5.07%","-12.89%","3.42%","10.41%","12.82%","2.44","1.23%","13.93%","6.38%","89.49","940.88","973.50","29.48","78.00%","91.00%"
"State Bank of India","https://scanx.trade/company/state-bank-of-india-ltd","1,189.90","-0.98%","1,185.00","1,62,70,835","10,98,351.19","12.82","10.53","1,234.70","680.00","12.98%","22.31%","69.04%","125.49%","201.28%","1.96","1.28%","15.83%","5.57%","81.94","1,076.99","913.15","61.38","78.00%","91.00%"
"Bharti Airtel","https://scanx.trade/company/bharti-airtel-ltd","1,873.20","-0.32%","1,850.10","1,17,85,758","10,68,118.37","28.93","-11.26","2,174.50","1,559.50","-5.08%","-11.46%","13.50%","148.80%","258.58%","9.10","0.87%","8.11%","18.01%","21.42","2,021.52","1,976.32","29.90","78.00%","91.00%"
"ICICI Bank","https://scanx.trade/company/icici-bank-ltd","1,374.00","-0.36%","1,355.00","1,69,28,683","9,82,436.35","17.44","9.58","1,500.00","1,200.10","0.93%","-1.31%","12.40%","60.44%","125.86%","2.88","0.79%","16.67%","6.13%","64.38","1,384.06","1,403.39","44.44","78.00%","91.00%"
"Tata Consultancy Services","https://scanx.trade/company/tcs-tata-consultancy-services-ltd","2,613.50","-0.91%","2,592.00","33,74,385","9,45,587.17","19.89","25.51","3,710.00","2,561.30","-17.24%","-16.68%","-27.65%","-21.56%","-10.63%","9.02","4.78%","50.48%","62.02%","131.54","3,043.44","3,151.91","28.63","78.00%","91.00%"
"Bajaj Finance","https://scanx.trade/company/bajaj-finance-ltd","978.25","-1.77%","971.00","84,93,269","6,08,714.29","33.84","30.18","1,102.50","821.13","6.95%","-5.37%","12.37%","57.92%","85.74%","6.01","0.56%","18.84%","10.98%","241.14","976.75","967.86","45.24","76.00%","89.66%"
"Larsen & Toubro","https://scanx.trade/company/lt-larsen-toubro-ltd","4,066.70","-4.95%","4,061.00","65,42,141","5,59,407.47","31.03","-10.64","4,440.00","2,965.30","7.36%","-0.36%","26.71%","92.40%","176.11%","5.81","0.79%","15.18%","18.71%","96.60","4,064.52","3,811.46","43.80","76.00%","91.00%"
"Hindustan Unilever","https://scanx.trade/company/hindustan-unilever-ltd","2,320.60","-0.75%","2,303.00","22,73,224","5,45,246.15","37.79","42.65","2,705.09","2,101.12","-3.34%","-3.78%","5.09%","-4.42%","10.06%","11.28","2.27%","19.99%","23.38%","43.99","2,358.31","2,406.21","44.44","78.00%","91.00%"
"LIC of India","https://scanx.trade/company/lic-of-india-ltd","841.95","-0.88%","824.00","13,33,185","5,32,533.18","10.14","30.18","980.00","715.30","4.23%","-6.48%","13.61%","48.30%","-3.80%","3.79","1.41%","49.36%","0.87%","66.13","847.28","888.65","43.34","76.00%","87.50%"
